district,murder,year
THIRUVALLUR,0,2002
THIRUVANNAMALAI,0,2002
THIRUVARUR,0,2002
THOOTHUGUDI,0,2002
"TRICHY RLY.",0,2002
"TRICHY RURAL",0,2002
"TRICHY URBAN",0,2002
VELLORE,0,2002
VILLUPURAM,0,2002
VIRUDHUNAGAR,0,2002
DHALAI,0,2002
NORTH,0,2002
SOUTH,0,2002
WEST,0,2002
AGRA,0,2002
ALIGARH,0,2002
"AMBEDKAR NAGAR",0,2002
AURAIYA,0,2002
AZAMGARH,0,2002
BADAUN,0,2002
BAGHPAT,0,2002
BAHRAICH,0,2002
BALLIA,0,2002
BALRAMPUR,0,2002
BANDA,0,2002
BARABANKI,0,2002
BAREILLY,0,2002
BASTI,0,2002
BIJNOR,0,2002
BULANDSHAHAR,0,2002
CHANDOLI,0,2002
DEORIA,0,2002
ETAH,0,2002
ETAWAH,0,2002
FAIZABAD,0,2002
FATEHGARH,0,2002
FATEHPUR,0,2002
FIROZABAD,0,2002
G.R.P.,0,2002
"GAUTAMBUDH NAGAR",0,2002
GHAZIABAD,0,2002
GHAZIPUR,0,2002
GONDA,0,2002
GORAKHPUR,0,2002
HAMIRPUR,0,2002
HARDOI,0,2002
HATHRAS,0,2002
J.P.NAGAR,0,2002
JALAUN,0,2002
JAUNPUR,0,2002
JHANSI,0,2002
KANNAUJ,0,2002
"KANPUR DEHAT",0,2002
"KANPUR NAGAR",0,2002
KAUSHAMBI,0,2002
KHIRI,0,2002
"KUSHI NAGAR",0,2002
LALITPUR,0,2002
LUCKNOW,0,2002
MAHARAJGANJ,0,2002
MAHOBA,0,2002
MAINPURI,0,2002
MATHURA,0,2002
MAU,0,2002
MEERUT,0,2002
MIRZAPUR,0,2002
MORADABAD,0,2002
MUZAFFARNAGAR,0,2002
PRATAPGARH,0,2002
RAIBAREILLY,0,2002
RAMPUR,0,2002
SAHARANPUR,0,2002
"SANT KABIRNAGAR",0,2002
SHAHJAHANPUR,0,2002
SHRAWASTI,0,2002
SIDHARTHNAGAR,0,2002
SITAPUR,0,2002
SONBHADRA,0,2002
ST.RAVIDASNAGAR,0,2002
SULTANPUR,0,2002
UNNAO,0,2002
VARANASI,0,2002
ALMORA,0,2002
BAGESHWAR,0,2002
CHAMOLI,0,2002
CHAMPAWAT,0,2002
DEHRADUN,0,2002
HARIDWAR,0,2002
NAINITAL,0,2002
"PAURI GARHWAL",0,2002
PITHORAGARH,0,2002
"RUDRA PRAYAG",0,2002
"TEHRI GARHWAL",0,2002
UTTARKASHI,0,2002
"24 PARGANAS NORTH",0,2002
"24 PARGANAS SOUTH",0,2002
ASANSOL,0,2002
BANKURA,0,2002
BIRBHUM,0,2002
BURDWAN,0,2002
COOCHBEHAR,0,2002
"DAKSHIN DINAJPUR",0,2002
DARJEELING,0,2002
HOOGHLY,0,2002
HOWRAH,0,2002
"HOWRAH CITY",0,2002
"HOWRAH G.R.P.",0,2002
JALPAIGURI,0,2002
"KHARAGPUR G.R.P.",0,2002
KOLKATA,0,2002
MALDA,0,2002
MURSHIDABAD,0,2002
NADIA,0,2002
"PASCHIM MIDNAPUR",0,2002
"PURAB MIDNAPUR",0,2002
PURULIA,0,2002
"SEALDAH G.R.P.",0,2002
"SILIGURI G.R.P.",0,2002
"UTTAR DINAJPUR",0,2002
ANDAMAN,0,2002
NICOBAR,0,2002
CHANDIGARH,0,2002
"D and N HAVELI",0,2002
DAMAN,0,2002
DIU,0,2002
CENTRAL,0,2002
DRP,0,2002
EAST,0,2002
"IGI AIRPORT",0,2002
"NEW DELHI",0,2002
NORTH,0,2002
NORTH-EAST,0,2002
NORTH-WEST,0,2002
SOUTH,0,2002
SOUTH-WEST,0,2002
"SPL CELL",0,2002
STF,0,2002
WEST,0,2002
LAKSHADWEEP,0,2002
PONDICHERRY,0,2002
ADILABAD,0,2003
ANANTAPUR,0,2003
CHITTOOR,0,2003
CUDDAPAH,0,2003
CYBERABAD,0,2003
"EAST GODAVARI",0,2003
"GUNTAKAL RLY.",0,2003
GUNTUR,0,2003
"HYDERABAD CITY",0,2003
KHAMMAM,0,2003
KURNOOL,0,2003
MEDAK,0,2003
NELLORE,0,2003
NIZAMABAD,0,2003
PRAKASHAM,0,2003
"RANGA REDDY",0,2003
"SECUNDERABAD RLY.",0,2003
SRIKAKULAM,0,2003
VIJAYAWADA,0,2003
"VIJAYAWADA RLY.",0,2003
"VISAKHA RURAL",0,2003
VISAKHAPATNAM,0,2003
VIZIANAGARAM,0,2003
WARANGAL,0,2003
"WEST GODAVARI",0,2003
CHANGLANG,0,2003
"DIBANG VALLEY",0,2003
K/KUMEY,0,2003
"KAMENG EAST",0,2003
"KAMENG WEST",0,2003
LOHIT,0,2003
"PAPUM PARE",0,2003
"SIANG EAST",0,2003
"SIANG UPPER",0,2003
"SIANG WEST",0,2003
"SUBANSIRI LOWER",0,2003
"SUBANSIRI UPPER",0,2003
TAWANG,0,2003
TIRAP,0,2003
"UPPER DIBANG VALLEY",0,2003
BARPETA,0,2003
BONGAIGAON,0,2003
C.I.D.,0,2003
CACHAR,0,2003
DARRANG,0,2003
DHEMAJI,0,2003
DHUBRI,0,2003
DIBRUGARH,0,2003
G.R.P.,0,2003
GOALPARA,0,2003
"GUWAHATI CITY",0,2003
HAILAKANDI,0,2003
JORHAT,0,2003
KAMRUP,0,2003
"KARBI ANGLONG",0,2003
KARIMGANJ,0,2003
LAKHIMPUR,0,2003
MORIGAON,0,2003
N.C.HILLS,0,2003
NAGAON,0,2003
NALBARI,0,2003
R.P.O.,0,2003
SIBSAGAR,0,2003
SONITPUR,0,2003
TINSUKIA,0,2003
ARARIA,0,2003
ARWAL,0,2003
AURANGABAD,0,2003
BAGAHA,0,2003
BANKA,0,2003
BEGUSARAI,0,2003
BETTIAH,0,2003
BHABHUA,0,2003
BHAGALPUR,0,2003
BHOJPUR,0,2003
BUXAR,0,2003
DARBHANGA,0,2003
GAYA,0,2003
GOPALGANJ,0,2003
"JAMALPUR RLY.",0,2003
JAMUI,0,2003
JEHANABAD,0,2003
KATIHAR,0,2003
"KATIHAR RLY.",0,2003
KHAGARIA,0,2003
KISHANGANJ,0,2003
MADHEPURA,0,2003
MADHUBANI,0,2003
MOTIHARI,0,2003
MUNGER,0,2003
MUZAFFARPUR,0,2003
"MUZAFFARPUR RLY.",0,2003
NALANDA,0,2003
NAUGACHIA,0,2003
NAWADAH,0,2003
PATNA,0,2003
"PATNA RLY.",0,2003
PURNEA,0,2003
ROHTAS,0,2003
SAHARSA,0,2003
SAMASTIPUR,0,2003
SHEIKHPURA,0,2003
SHEOHAR,0,2003
SITAMARHI,0,2003
SIWAN,0,2003
SUPAUL,0,2003
VAISHALI,0,2003
BALRAMPUR,0,2003
BIZAPUR,0,2003
DANTEWARA,0,2003
"GRP RAIPUR",0,2003
JANJGIR,0,2003
KABIRDHAM,0,2003
KORBA,0,2003
KORIYA,0,2003
NARAYANPUR,0,2003
RAIGARH,0,2003
RAIPUR,0,2003
RAJNANDGAON,0,2003
SARGUJA,0,2003
"NORTH GOA",0,2003
"SOUTH GOA",0,2003
"AHMEDABAD COMMR.",0,2003
"AHMEDABAD RURAL",0,2003
AHWA-DANG,0,2003
AMRELI,0,2003
BHAVNAGAR,0,2003
DAHOD,0,2003
GANDHINAGAR,0,2003
HIMATNAGAR,0,2003
JAMNAGAR,0,2003
JUNAGADH,0,2003
"KHEDA NORTH",0,2003
MEHSANA,0,2003
NARMADA,0,2003
NAVSARI,0,2003
PANCHMAHAL,0,2003
PATAN,0,2003
PORBANDAR,0,2003
"RAJKOT RURAL",0,2003
"SURAT COMMR.",0,2003
"SURAT RURAL",0,2003
SURENDRANAGAR,0,2003
"VADODARA COMMR.",0,2003
"VADODARA RURAL",0,2003
VALSAD,0,2003
W.RLY,0,2003
AMBALA,0,2003
BHIWANI,0,2003
FARIDABAD,0,2003
FATEHABAD,0,2003
GRP,0,2003
GURGAON,0,2003
HISSAR,0,2003
JHAJJAR,0,2003
JIND,0,2003
KAITHAL,0,2003
KARNAL,0,2003
KURUKSHETRA,0,2003
MAHENDRAGARH,0,2003
PANCHKULA,0,2003
PANIPAT,0,2003
REWARI,0,2003
ROHTAK,0,2003
SIRSA,0,2003
SONIPAT,0,2003
YAMUNANAGAR,0,2003
BILASPUR,0,2003
CHAMBA,0,2003
G.R.P.,0,2003
HAMIRPUR,0,2003
KANGRA,0,2003
KINNAUR,0,2003
KULLU,0,2003
MANDI,0,2003
SHIMLA,0,2003
SIRMAUR,0,2003
SOLAN,0,2003
UNA,0,2003
ANANTNAG,0,2003
AWANTIPORA,0,2003
BARAMULLA,0,2003
BORDER,0,2003
BUDGAM,0,2003
"CRIME JAMMU",0,2003
"CRIME SRINAGAR",0,2003
DODA,0,2003
GANDERBAL,0,2003
HANDWARA,0,2003
JAMMU,0,2003
KARGIL,0,2003
KATHUA,0,2003
KULGAM,0,2003
KUPWARA,0,2003
LEH,0,2003
POONCH,0,2003
PULWAMA,0,2003
RAILWAYS,0,2003
RAJOURI,0,2003
RAMBAN,0,2003
REASI,0,2003
SRINAGAR,0,2003
UDHAMPUR,0,2003
BOKARO,0,2003
CHAIBASA,0,2003
CHATRA,0,2003
DEOGHAR,0,2003
DHANBAD,0,2003
"DHANBAD RLY.",0,2003
DUMKA,0,2003
GARHWA,0,2003
GODDA,0,2003
GUMLA,0,2003
HAZARIBAGH,0,2003
JAMSHEDPUR,0,2003
"JAMSHEDPUR RLY.",0,2003
KODERMA,0,2003
LATEHAR,0,2003
LOHARDAGGA,0,2003
PALAMU,0,2003
RANCHI,0,2003
SARAIKELA,0,2003
BAGALKOT,0,2003
"BANGALORE COMMR.",0,2003
"BANGALORE RURAL",0,2003
BELGAUM,0,2003
BELLARY,0,2003
BIDAR,0,2003
BIJAPUR,0,2003
CHAMARAJNAGAR,0,2003
CHICKMAGALUR,0,2003
CHITRADURGA,0,2003
"DAKSHIN KANNADA",0,2003
DAVANAGERE,0,2003
"DHARWAD COMMR.",0,2003
GADAG,0,2003
HASSAN,0,2003
HAVERI,0,2003
K.G.F.,0,2003
KOLAR,0,2003
KOPPAL,0,2003
MANDYA,0,2003
"MYSORE COMMR.",0,2003
"MYSORE RURAL",0,2003
RAILWAYS,0,2003
SHIMOGA,0,2003
TUMKUR,0,2003
UDUPI,0,2003
"UTTAR KANNADA",0,2003
ALAPUZHA,0,2003
CBCID,0,2003
"ERNAKULAM COMMR.",0,2003
"ERNAKULAM RURAL",0,2003
IDUKKI,0,2003
KANNUR,0,2003
KASARGOD,0,2003
KOLLAM,0,2003
KOTTAYAM,0,2003
"KOZHIKODE COMMR.",0,2003
"KOZHIKODE RURAL",0,2003
MALAPPURAM,0,2003
PALAKKAD,0,2003
PATHANAMTHITTA,0,2003
RAILWAYS,0,2003
THRISSUR,0,2003
"TRIVANDRUM COMMR.",0,2003
"TRIVANDRUM RURAL",0,2003
WAYANADU,0,2003
ANUPPUR,0,2003
"ASHOK NAGAR",0,2003
BALAGHAT,0,2003
BHIND,0,2003
BHOPAL,0,2003
"BHOPAL RLY.",0,2003
BURHANPUR,0,2003
CHHATARPUR,0,2003
CHHINDWARA,0,2003
DAMOH,0,2003
DATIYA,0,2003
DEWAS,0,2003
GWALIOR,0,2003
HARDA,0,2003
"INDORE RLY.",0,2003
JABALPUR,0,2003
"JABALPUR RLY.",0,2003
JHABUA,0,2003
KATNI,0,2003
KHARGON,0,2003
MANDSAUR,0,2003
MORENA,0,2003
NEEMUCH,0,2003
RAISEN,0,2003
RATLAM,0,2003
REWA,0,2003
SAGAR,0,2003
SATNA,0,2003
SHAJAPUR,0,2003
TIKAMGARH,0,2003
UJJAIN,0,2003
VIDISHA,0,2003
AHMEDNAGAR,0,2003
AKOLA,0,2003
"AMRAVATI COMMR.",0,2003
"AMRAVATI RURAL",0,2003
"AURANGABAD COMMR.",0,2003
"AURANGABAD RURAL",0,2003
BEED,0,2003
BHANDARA,0,2003
CHANDRAPUR,0,2003
DHULE,0,2003
GADCHIROLI,0,2003
GONDIA,0,2003
HINGOLI,0,2003
JALGAON,0,2003
KOLHAPUR,0,2003
LATUR,0,2003
MUMBAI,0,2003
"MUMBAI RLY.",0,2003
"NAGPUR COMMR.",0,2003
"NAGPUR RLY.",0,2003
"NAGPUR RURAL",0,2003
NANDED,0,2003
"NASIK COMMR.",0,2003
"NAVI MUMBAI",0,2003
PARBHANI,0,2003
"PUNE COMMR.",0,2003
"PUNE RLY.",0,2003
RAIGAD,0,2003
RATNAGIRI,0,2003
SANGLI,0,2003
SATARA,0,2003
SINDHUDURG,0,2003
"SOLAPUR COMMR.",0,2003
"SOLAPUR RURAL",0,2003
"THANE COMMR.",0,2003
"THANE RURAL",0,2003
WARDHA,0,2003
WASHIM,0,2003
BISHNUPUR,0,2003
CHANDEL,0,2003
CHURACHANDPUR,0,2003
SENAPATI,0,2003
TAMENGLONG,0,2003
THOUBAL,0,2003
UKHRUL,0,2003
"GARO HILLS EAST",0,2003
"GARO HILLS SOUTH",0,2003
"GARO HILLS WEST",0,2003
"JAINTIA HILLS",0,2003
"KHASI HILLS EAST",0,2003
"KHASI HILLS WEST",0,2003
RI-BHOI,0,2003
AIZAWL,0,2003
CHAMPHAI,0,2003
KOLASIB,0,2003
LAWNGTLAI,0,2003
LUNGLEI,0,2003
MAMIT,0,2003
SAIHA,0,2003
SERCHHIP,0,2003
DIMAPUR,0,2003
KIPHIRE,0,2003
MOKOKCHUNG,0,2003
PEREN,0,2003
WOKHA,0,2003
ANGUL,0,2003
BALASORE,0,2003
BARAGARH,0,2003
BERHAMPUR,0,2003
BHADRAK,0,2003
BOUDH,0,2003
CUTTACK,0,2003
DEOGARH,0,2003
DHENKANAL,0,2003
GAJAPATI,0,2003
JAGATSINGHPUR,0,2003
JAJPUR,0,2003
JHARSUGUDA,0,2003
KALAHANDI,0,2003
KENDRAPARA,0,2003
KHURDA,0,2003
KORAPUT,0,2003
MALKANGIR,0,2003
NAYAGARH,0,2003
NOWRANGPUR,0,2003
NUAPADA,0,2003
PURI,0,2003
RAYAGADA,0,2003
ROURKELA,0,2003
SAMBALPUR,0,2003
SONEPUR,0,2003
SRP(CUTTACK),0,2003
SRP(ROURKELA),0,2003
AMRITSAR,0,2003
BARNALA,0,2003
BATALA,0,2003
BHATINDA,0,2003
FARIDKOT,0,2003
"FATEHGARH SAHIB",0,2003
FEROZEPUR,0,2003
G.R.P,0,2003
GURDASPUR,0,2003
HOSHIARPUR,0,2003
JAGRAON,0,2003
JALANDHAR,0,2003
KAPURTHALA,0,2003
KHANNA,0,2003
LUDHIANA,0,2003
MAJITHA,0,2003
MANSA,0,2003
MOGA,0,2003
MUKTSAR,0,2003
"NAWAN SHAHR",0,2003
PATIALA,0,2003
ROPAR,0,2003
SANGRUR,0,2003
"TARN TARAN",0,2003
AJMER,0,2003
ALWAR,0,2003
BARMER,0,2003
BHILWARA,0,2003
BIKANER,0,2003
BUNDI,0,2003
CHITTORGARH,0,2003
CHURU,0,2003
DHOLPUR,0,2003
DUNGARPUR,0,2003
G.R.P.,0,2003
GANGANAGAR,0,2003
HANUMANGARH,0,2003
JAIPUR,0,2003
JAISALMER,0,2003
JALORE,0,2003
JODHPUR,0,2003
KARAULI,0,2003
NAGAUR,0,2003
RAJSAMAND,0,2003
SIKAR,0,2003
SIROHI,0,2003
TONK,0,2003
UDAIPUR,0,2003
NORTH,0,2003
SOUTH,0,2003
WEST,0,2003
CHENGAI,0,2003
CHENNAI,0,2003
"CHENNAI RLY.",0,2003
"COIMBATORE RURAL",0,2003
"COIMBATORE URBAN",0,2003
CUDDALORE,0,2003
DHARMAPURI,0,2003
DINDIGUL,0,2003
ERODE,0,2003
KANCHIPURAM,0,2003
KANYAKUMARI,0,2003
KARUR,0,2003
"MADURAI RURAL",0,2003
"MADURAI URBAN",0,2003
NAGAPATTINAM,0,2003
NAMAKKAL,0,2003
NILGIRIS,0,2003
PERAMBALUR,0,2003
PUDUKOTTAI,0,2003
RAMNATHAPURAM,0,2003
"SALEM RURAL",0,2003
"SALEM URBAN",0,2003
SIVAGANGAI,0,2003
THANJAVUR,0,2003
THENI,0,2003
"THIRUNELVELI RURAL",0,2003
"THIRUNELVELI URBAN",0,2003
THIRUVALLUR,0,2003
THIRUVANNAMALAI,0,2003
THIRUVARUR,0,2003
THOOTHUGUDI,0,2003
"TRICHY RLY.",0,2003
"TRICHY RURAL",0,2003
"TRICHY URBAN",0,2003
VELLORE,0,2003
VILLUPURAM,0,2003
VIRUDHUNAGAR,0,2003
DHALAI,0,2003
NORTH,0,2003
SOUTH,0,2003
WEST,0,2003
AGRA,0,2003
ALIGARH,0,2003
ALLAHABAD,0,2003
"AMBEDKAR NAGAR",0,2003
AURAIYA,0,2003
AZAMGARH,0,2003
BADAUN,0,2003
BAGHPAT,0,2003
BAHRAICH,0,2003
BALLIA,0,2003
BALRAMPUR,0,2003
BANDA,0,2003
BARABANKI,0,2003
BAREILLY,0,2003
BASTI,0,2003
BIJNOR,0,2003
BULANDSHAHAR,0,2003
CHANDOLI,0,2003
"CHITRAKOOT DHAM",0,2003
DEORIA,0,2003
ETAH,0,2003
ETAWAH,0,2003
FAIZABAD,0,2003
FATEHGARH,0,2003
FATEHPUR,0,2003
FIROZABAD,0,2003
G.R.P.,0,2003
"GAUTAMBUDH NAGAR",0,2003
GHAZIABAD,0,2003
GHAZIPUR,0,2003
GONDA,0,2003
GORAKHPUR,0,2003
HAMIRPUR,0,2003
HARDOI,0,2003
HATHRAS,0,2003
J.P.NAGAR,0,2003
JALAUN,0,2003
JAUNPUR,0,2003
JHANSI,0,2003
KANNAUJ,0,2003
"KANPUR DEHAT",0,2003
"KANPUR NAGAR",0,2003
KAUSHAMBI,0,2003
KHIRI,0,2003
"KUSHI NAGAR",0,2003
LALITPUR,0,2003
LUCKNOW,0,2003
MAHARAJGANJ,0,2003
MAHOBA,0,2003
MAINPURI,0,2003
MATHURA,0,2003
MAU,0,2003
MEERUT,0,2003
MIRZAPUR,0,2003
MORADABAD,0,2003
MUZAFFARNAGAR,0,2003
PILIBHIT,0,2003
PRATAPGARH,0,2003
RAIBAREILLY,0,2003
RAMPUR,0,2003
SAHARANPUR,0,2003
"SANT KABIRNAGAR",0,2003
SHAHJAHANPUR,0,2003
SHRAWASTI,0,2003
SIDHARTHNAGAR,0,2003
SITAPUR,0,2003
SONBHADRA,0,2003
ST.RAVIDASNAGAR,0,2003
SULTANPUR,0,2003
UNNAO,0,2003
VARANASI,0,2003
ALMORA,0,2003
BAGESHWAR,0,2003
CHAMOLI,0,2003
CHAMPAWAT,0,2003
DEHRADUN,0,2003
HARIDWAR,0,2003
NAINITAL,0,2003
"PAURI GARHWAL",0,2003
PITHORAGARH,0,2003
"RUDRA PRAYAG",0,2003
"TEHRI GARHWAL",0,2003
UTTARKASHI,0,2003
"24 PARGANAS NORTH",0,2003
"24 PARGANAS SOUTH",0,2003
ASANSOL,0,2003
BANKURA,0,2003
BIRBHUM,0,2003
BURDWAN,0,2003
COOCHBEHAR,0,2003
"DAKSHIN DINAJPUR",0,2003
DARJEELING,0,2003
HOOGHLY,0,2003
HOWRAH,0,2003
"HOWRAH CITY",0,2003
"HOWRAH G.R.P.",0,2003
JALPAIGURI,0,2003
"KHARAGPUR G.R.P.",0,2003
KOLKATA,0,2003
MALDA,0,2003
MURSHIDABAD,0,2003
NADIA,0,2003
"PASCHIM MIDNAPUR",0,2003
"PURAB MIDNAPUR",0,2003
PURULIA,0,2003
"SEALDAH G.R.P.",0,2003
"SILIGURI G.R.P.",0,2003
"UTTAR DINAJPUR",0,2003
ANDAMAN,0,2003
NICOBAR,0,2003
CHANDIGARH,0,2003
DAMAN,0,2003
DIU,0,2003
CENTRAL,0,2003
EAST,0,2003
GRP(RLY),0,2003
"IGI AIRPORT",0,2003
"NEW DELHI",0,2003
NORTH,0,2003
NORTH-EAST,0,2003
NORTH-WEST,0,2003
SOUTH,0,2003
SOUTH-WEST,0,2003
STF,0,2003
WEST,0,2003
LAKSHADWEEP,0,2003
PONDICHERRY,0,2003
ADILABAD,0,2004
ANANTAPUR,0,2004
CHITTOOR,0,2004
CUDDAPAH,0,2004
CYBERABAD,0,2004
"EAST GODAVARI",0,2004
"GUNTAKAL RLY.",0,2004
"HYDERABAD CITY",0,2004
KARIMNAGAR,0,2004
KRISHNA,0,2004
KURNOOL,0,2004
MEDAK,0,2004
NIZAMABAD,0,2004
PRAKASHAM,0,2004
"RANGA REDDY",0,2004
"SECUNDERABAD RLY.",0,2004
SRIKAKULAM,0,2004
VIJAYAWADA,0,2004
"VIJAYAWADA RLY.",0,2004
"VISAKHA RURAL",0,2004
VISAKHAPATNAM,0,2004
VIZIANAGARAM,0,2004
WARANGAL,0,2004
"WEST GODAVARI",0,2004
"DIBANG VALLEY",0,2004
K/KUMEY,0,2004
"KAMENG EAST",0,2004
"KAMENG WEST",0,2004
LOHIT,0,2004
"PAPUM PARE",0,2004
"SIANG EAST",0,2004
"SIANG UPPER",0,2004
"SIANG WEST",0,2004
"SUBANSIRI LOWER",0,2004
"SUBANSIRI UPPER",0,2004
TAWANG,0,2004
TIRAP,0,2004
BARPETA,0,2004
BONGAIGAON,0,2004
C.I.D.,0,2004
CACHAR,0,2004
DARRANG,0,2004
DHEMAJI,0,2004
DHUBRI,0,2004
DIBRUGARH,0,2004
G.R.P.,0,2004
GOALPARA,0,2004
"GUWAHATI CITY",0,2004
HAILAKANDI,0,2004
JORHAT,0,2004
KAMRUP,0,2004
"KARBI ANGLONG",0,2004
KARIMGANJ,0,2004
KOKRAJHAR,0,2004
LAKHIMPUR,0,2004
MORIGAON,0,2004
N.C.HILLS,0,2004
NAGAON,0,2004
NALBARI,0,2004
R.P.O.,0,2004
SIBSAGAR,0,2004
SONITPUR,0,2004
TINSUKIA,0,2004
ARARIA,0,2004
ARWAL,0,2004
AURANGABAD,0,2004
BAGAHA,0,2004
BANKA,0,2004
BEGUSARAI,0,2004
BETTIAH,0,2004
BHABHUA,0,2004
BHAGALPUR,0,2004
BHOJPUR,0,2004
BUXAR,0,2004
DARBHANGA,0,2004
GAYA,0,2004
GOPALGANJ,0,2004
"JAMALPUR RLY.",0,2004
JAMUI,0,2004
JEHANABAD,0,2004
KATIHAR,0,2004
"KATIHAR RLY.",0,2004
KHAGARIA,0,2004
KISHANGANJ,0,2004
LAKHISARAI,0,2004
MADHEPURA,0,2004
MADHUBANI,0,2004
MOTIHARI,0,2004
MUNGER,0,2004
MUZAFFARPUR,0,2004
"MUZAFFARPUR RLY.",0,2004
NALANDA,0,2004
NAUGACHIA,0,2004
NAWADAH,0,2004
PATNA,0,2004
"PATNA RLY.",0,2004
PURNEA,0,2004
ROHTAS,0,2004
SAHARSA,0,2004
SAMASTIPUR,0,2004
SARAN,0,2004
SHEIKHPURA,0,2004
SHEOHAR,0,2004
SITAMARHI,0,2004
SIWAN,0,2004
SUPAUL,0,2004
VAISHALI,0,2004
BALRAMPUR,0,2004
BILASPUR,0,2004
BIZAPUR,0,2004
DANTEWARA,0,2004
DHAMTARI,0,2004
"GRP RAIPUR",0,2004
JASHPUR,0,2004
NARAYANPUR,0,2004
RAIGARH,0,2004
SARGUJA,0,2004
"NORTH GOA",0,2004
"SOUTH GOA",0,2004
"AHMEDABAD COMMR.",0,2004
"AHMEDABAD RURAL",0,2004
AHWA-DANG,0,2004
AMRELI,0,2004
ANAND,0,2004
BHAVNAGAR,0,2004
DAHOD,0,2004
GANDHINAGAR,0,2004
JAMNAGAR,0,2004
"KHEDA NORTH",0,2004
KUTCH,0,2004
MEHSANA,0,2004
NARMADA,0,2004
PALANPUR,0,2004
PANCHMAHAL,0,2004
PATAN,0,2004
PORBANDAR,0,2004
"RAJKOT COMMR.",0,2004
"RAJKOT RURAL",0,2004
"SURAT COMMR.",0,2004
"SURAT RURAL",0,2004
SURENDRANAGAR,0,2004
"VADODARA COMMR.",0,2004
W.RLY,0,2004
AMBALA,0,2004
BHIWANI,0,2004
FARIDABAD,0,2004
FATEHABAD,0,2004
GRP,0,2004
GURGAON,0,2004
HISSAR,0,2004
JHAJJAR,0,2004
JIND,0,2004
KAITHAL,0,2004
KARNAL,0,2004
KURUKSHETRA,0,2004
MAHENDRAGARH,0,2004
PANCHKULA,0,2004
PANIPAT,0,2004
REWARI,0,2004
ROHTAK,0,2004
SIRSA,0,2004
SONIPAT,0,2004
YAMUNANAGAR,0,2004
BILASPUR,0,2004
CHAMBA,0,2004
G.R.P.,0,2004
HAMIRPUR,0,2004
KANGRA,0,2004
KINNAUR,0,2004
KULLU,0,2004
LAHAUL-SPITI,0,2004
MANDI,0,2004
SHIMLA,0,2004
SIRMAUR,0,2004
SOLAN,0,2004
UNA,0,2004
ANANTNAG,0,2004
AWANTIPORA,0,2004
BARAMULLA,0,2004
BORDER,0,2004
BUDGAM,0,2004
"CRIME JAMMU",0,2004
"CRIME SRINAGAR",0,2004
DODA,0,2004
GANDERBAL,0,2004
HANDWARA,0,2004
JAMMU,0,2004
KARGIL,0,2004
KATHUA,0,2004
KULGAM,0,2004
KUPWARA,0,2004
LEH,0,2004
POONCH,0,2004
PULWAMA,0,2004
RAILWAYS,0,2004
RAJOURI,0,2004
RAMBAN,0,2004
REASI,0,2004
SRINAGAR,0,2004
UDHAMPUR,0,2004
BOKARO,0,2004
CHAIBASA,0,2004
DEOGHAR,0,2004
"DHANBAD RLY.",0,2004
GODDA,0,2004
HAZARIBAGH,0,2004
JAMSHEDPUR,0,2004
"JAMSHEDPUR RLY.",0,2004
KODERMA,0,2004
LATEHAR,0,2004
LOHARDAGGA,0,2004
PAKUR,0,2004
SARAIKELA,0,2004
SIMDEGA,0,2004
"BANGALORE COMMR.",0,2004
"BANGALORE RURAL",0,2004
BELGAUM,0,2004
BELLARY,0,2004
BIDAR,0,2004
BIJAPUR,0,2004
CHAMARAJNAGAR,0,2004
CHICKMAGALUR,0,2004
"DAKSHIN KANNADA",0,2004
DAVANAGERE,0,2004
"DHARWAD COMMR.",0,2004
"DHARWAD RURAL",0,2004
GADAG,0,2004
GULBARGA,0,2004
HASSAN,0,2004
HAVERI,0,2004
K.G.F.,0,2004
KODAGU,0,2004
KOLAR,0,2004
KOPPAL,0,2004
MANDYA,0,2004
"MYSORE COMMR.",0,2004
"MYSORE RURAL",0,2004
RAICHUR,0,2004
RAILWAYS,0,2004
SHIMOGA,0,2004
TUMKUR,0,2004
UDUPI,0,2004
"UTTAR KANNADA",0,2004
ALAPUZHA,0,2004
CBCID,0,2004
"ERNAKULAM COMMR.",0,2004
"ERNAKULAM RURAL",0,2004
IDUKKI,0,2004
KANNUR,0,2004
KOLLAM,0,2004
KOTTAYAM,0,2004
"KOZHIKODE COMMR.",0,2004
"KOZHIKODE RURAL",0,2004
MALAPPURAM,0,2004
PALAKKAD,0,2004
PATHANAMTHITTA,0,2004
RAILWAYS,0,2004
THRISSUR,0,2004
"TRIVANDRUM COMMR.",0,2004
"TRIVANDRUM RURAL",0,2004
ANUPPUR,0,2004
"ASHOK NAGAR",0,2004
BARWANI,0,2004
"BHOPAL RLY.",0,2004
BURHANPUR,0,2004
CHHATARPUR,0,2004
DATIYA,0,2004
DINDORI,0,2004
GUNA,0,2004
GWALIOR,0,2004
HARDA,0,2004
HOSHANGABAD,0,2004
INDORE,0,2004
"INDORE RLY.",0,2004
"JABALPUR RLY.",0,2004
JHABUA,0,2004
KATNI,0,2004
MANDSAUR,0,2004
MORENA,0,2004
NARSINGHPUR,0,2004
NEEMUCH,0,2004
RAISEN,0,2004
RAJGARH,0,2004
RATLAM,0,2004
SHAJAPUR,0,2004
UJJAIN,0,2004
AHMEDNAGAR,0,2004
AKOLA,0,2004
"AMRAVATI COMMR.",0,2004
"AURANGABAD COMMR.",0,2004
